,accident_date,operator_id,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month
232,2016-06-14,146.0,71.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,71,0.0,0.0,0.0,0.03,0.02,0.02
233,2016-11-22,146.0,77.0,26.0,12.0,-1.0,-1.0,-1.0,30.0,161.0,232,0.0,0.0,0.2,0.0,0.3,0.0
234,2017-05-01,147.0,28.0,42.0,3.0,17.0,-1.0,61.0,190.0,-1.0,392,0.14,0.0,0.17,0.0,0.12,0.0
235,2017-04-10,148.0,7.0,12.0,101.0,-1.0,-1.0,122.0,13.0,-1.0,371,0.0,0.0,0.1,0.03,0.08,0.02
236,2016-10-06,149.0,30.0,20.0,8.0,136.0,-1.0,-1.0,-1.0,-1.0,185,0.0,0.0,0.13,0.0,0.07,0.0
237,2017-02-15,149.0,44.0,14.0,29.0,268.0,-1.0,-1.0,94.0,132.0,317,0.0,0.0,0.1,0.0,0.07,0.0
238,2016-10-17,150.0,41.0,-1.0,45.0,-1.0,-1.0,-1.0,57.0,-1.0,196,0.0,0.0,0.0,0.0,0.07,0.0
239,2017-01-10,150.0,8.0,18.0,11.0,-1.0,-1.0,-1.0,142.0,85.0,281,0.0,0.0,0.17,0.0,0.08,0.02
240,2019-07-08,150.0,7.0,331.0,17.0,-1.0,-1.0,-1.0,1.0,909.0,1190,0.14,0.0,0.3,0.0,0.17,0.03
241,2017-07-27,151.0,31.0,19.0,22.0,65.0,-1.0,-1.0,4.0,-1.0,479,0.43,0.0,0.6,0.0,0.37,0.0
242,2019-06-13,151.0,73.0,34.0,76.0,21.0,511.0,-1.0,235.0,686.0,1165,0.0,0.0,0.03,0.0,0.07,0.0
243,2019-06-19,151.0,79.0,40.0,82.0,27.0,517.0,-1.0,241.0,6.0,1171,0.0,0.0,0.03,0.0,0.07,0.0
244,2016-06-25,152.0,82.0,2.0,-1.0,-1.0,-1.0,-1.0,69.0,-1.0,82,0.14,0.0,0.03,0.0,0.07,0.0
245,2017-02-09,152.0,38.0,94.0,3.0,119.0,-1.0,-1.0,60.0,229.0,311,0.14,0.0,0.13,0.0,0.08,0.0
246,2017-11-06,152.0,63.0,35.0,66.0,24.0,-1.0,-1.0,78.0,270.0,581,0.0,0.0,0.03,0.0,0.07,0.0
247,2017-10-20,154.0,46.0,4.0,32.0,412.0,-1.0,33.0,75.0,-1.0,564,0.14,0.0,0.03,0.0,0.45,0.0
248,2018-03-02,154.0,60.0,37.0,42.0,545.0,-1.0,166.0,89.0,133.0,697,0.0,0.0,0.0,0.0,0.15,0.0
249,2017-08-22,156.0,57.0,63.0,62.0,261.0,60.0,-1.0,23.0,-1.0,505,0.0,0.0,0.23,0.0,0.22,0.0
250,2019-05-23,156.0,52.0,6.0,71.0,192.0,273.0,-1.0,264.0,639.0,1144,0.14,0.0,0.07,0.0,0.1,0.0
251,2017-06-27,157.0,1.0,18.0,196.0,212.0,319.0,-1.0,23.0,-1.0,449,0.0,0.0,0.27,0.0,0.15,0.0
252,2017-12-14,157.0,101.0,167.0,18.0,382.0,149.0,-1.0,11.0,170.0,619,0.0,0.0,0.3,0.03,0.17,0.03
253,2018-05-10,157.0,38.0,6.0,107.0,529.0,40.0,-1.0,158.0,147.0,766,0.14,0.0,0.03,0.0,0.03,0.0
254,2018-11-05,157.0,63.0,15.0,43.0,102.0,28.0,-1.0,106.0,179.0,945,0.0,0.14,0.07,0.03,0.05,0.03
255,2017-07-10,158.0,14.0,55.0,10.0,226.0,-1.0,-1.0,1.0,-1.0,462,0.86,0.0,0.3,0.0,0.2,0.0
256,2017-11-24,158.0,81.0,19.0,56.0,13.0,-1.0,-1.0,96.0,137.0,599,0.0,0.0,0.17,0.0,0.1,0.0
257,2018-01-05,158.0,4.0,39.0,14.0,55.0,-1.0,-1.0,138.0,42.0,641,0.0,0.0,0.03,0.0,0.07,0.0
258,2018-06-18,158.0,77.0,39.0,3.0,219.0,136.0,-1.0,92.0,164.0,805,0.14,0.0,0.03,0.0,0.12,0.0
259,2019-03-27,158.0,79.0,23.0,54.0,85.0,418.0,-1.0,10.0,282.0,1087,0.0,0.0,0.47,0.0,0.27,0.0
260,2018-01-22,160.0,21.0,23.0,4.0,72.0,-1.0,-1.0,319.0,-1.0,658,0.14,0.0,0.13,0.0,0.17,0.0
261,2016-12-05,162.0,90.0,13.0,10.0,150.0,-1.0,35.0,92.0,-1.0,245,0.0,0.0,0.13,0.0,0.18,0.0
262,2017-10-24,162.0,50.0,4.0,6.0,473.0,-1.0,1.0,107.0,323.0,568,0.43,0.0,0.4,0.0,0.38,0.0
263,2019-02-07,162.0,31.0,54.0,4.0,214.0,190.0,3.0,81.0,471.0,1039,0.29,0.0,0.27,0.0,0.35,0.0
264,2017-12-22,163.0,109.0,61.0,7.0,299.0,224.0,-1.0,199.0,-1.0,627,0.0,0.14,0.3,0.03,0.17,0.02
265,2016-05-27,164.0,53.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53,0.0,0.14,0.0,0.03,0.02,0.02
266,2017-03-24,164.0,81.0,39.0,64.0,26.0,-1.0,-1.0,32.0,301.0,354,0.0,0.0,0.03,0.0,0.05,0.0
267,2017-10-24,164.0,50.0,1.0,25.0,240.0,-1.0,-1.0,52.0,214.0,568,0.14,0.0,0.07,0.0,0.13,0.0
268,2018-02-02,165.0,32.0,65.0,7.0,8.0,516.0,-1.0,131.0,-1.0,669,0.0,0.0,0.13,0.0,0.08,0.0
269,2018-04-17,165.0,15.0,139.0,19.0,82.0,590.0,-1.0,205.0,74.0,743,0.0,0.0,0.03,0.0,0.03,0.0
270,2019-01-23,165.0,16.0,49.0,42.0,149.0,871.0,-1.0,122.0,281.0,1024,0.0,0.0,0.0,0.0,0.08,0.0
271,2017-08-18,166.0,53.0,7.0,234.0,19.0,-1.0,-1.0,26.0,-1.0,501,0.0,0.0,0.27,0.0,0.43,0.0
272,2018-03-14,166.0,72.0,33.0,110.0,45.0,-1.0,-1.0,234.0,208.0,709,0.0,0.0,0.0,0.0,0.05,0.0
273,2017-01-23,167.0,21.0,27.0,10.0,177.0,88.0,-1.0,13.0,-1.0,294,0.0,0.0,0.17,0.0,0.13,0.0
274,2017-10-30,167.0,56.0,73.0,5.0,92.0,368.0,-1.0,35.0,280.0,574,0.14,0.0,0.03,0.0,0.07,0.0
275,2018-11-15,167.0,73.0,45.0,20.0,108.0,119.0,-1.0,71.0,381.0,955,0.0,0.0,0.03,0.0,0.08,0.0
276,2016-07-07,168.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94,0.0,0.0,0.0,0.0,0.0,0.0
277,2016-11-02,170.0,57.0,61.0,37.0,39.0,-1.0,-1.0,52.0,-1.0,212,0.0,0.0,0.0,0.0,0.12,0.0
278,2017-03-17,170.0,74.0,28.0,73.0,174.0,-1.0,-1.0,187.0,135.0,347,0.0,0.0,0.03,0.0,0.02,0.0
279,2016-06-07,171.0,64.0,4.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,64,0.14,0.0,0.3,0.0,0.33,0.0
280,2017-08-22,171.0,57.0,18.0,5.0,-1.0,169.0,132.0,9.0,441.0,505,0.14,0.0,0.33,0.0,0.33,0.0
281,2017-12-20,171.0,107.0,7.0,5.0,39.0,62.0,252.0,129.0,120.0,625,0.14,0.0,0.2,0.0,0.17,0.0
282,2018-02-06,172.0,36.0,151.0,39.0,44.0,141.0,-1.0,74.0,-1.0,673,0.0,0.0,0.0,0.0,0.03,0.0
283,2018-05-21,172.0,49.0,20.0,5.0,60.0,245.0,-1.0,3.0,104.0,777,0.57,0.0,0.27,0.0,0.2,0.0
284,2016-05-18,173.0,44.0,23.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,44,0.57,0.0,0.27,0.0,0.18,0.0
285,2016-08-23,174.0,57.0,89.0,63.0,-1.0,-1.0,-1.0,30.0,-1.0,141,0.0,0.0,0.0,0.0,0.12,0.0
286,2018-08-20,174.0,56.0,70.0,4.0,149.0,-1.0,-1.0,29.0,727.0,868,0.14,0.0,0.1,0.0,0.17,0.0
287,2019-06-24,174.0,84.0,1.0,129.0,92.0,258.0,-1.0,120.0,308.0,1176,0.57,0.0,0.13,0.0,0.08,0.0
288,2016-04-25,175.0,21.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21,0.29,0.0,0.09,0.0,0.09,0.0
289,2018-05-23,176.0,51.0,22.0,100.0,219.0,71.0,-1.0,263.0,-1.0,779,0.0,0.0,0.07,0.0,0.03,0.0
290,2017-05-25,177.0,52.0,28.0,196.0,-1.0,-1.0,-1.0,4.0,-1.0,416,0.43,0.0,0.3,0.03,0.18,0.02
291,2019-05-07,177.0,36.0,34.0,35.0,360.0,-1.0,-1.0,261.0,712.0,1128,0.0,0.0,0.0,0.0,0.05,0.0
292,2017-09-28,178.0,24.0,16.0,14.0,-1.0,21.0,109.0,102.0,-1.0,542,0.0,0.0,0.2,0.0,0.28,0.0
293,2017-11-27,178.0,84.0,76.0,55.0,-1.0,81.0,8.0,1.0,60.0,602,0.86,0.0,0.97,0.0,0.88,0.0
294,2018-06-12,178.0,71.0,7.0,1.0,94.0,76.0,65.0,86.0,197.0,799,0.14,0.0,0.27,0.0,0.33,0.0
295,2017-07-13,179.0,17.0,105.0,8.0,-1.0,-1.0,10.0,116.0,-1.0,465,0.0,0.0,0.17,0.0,0.18,0.0
296,2018-09-05,179.0,2.0,89.0,6.0,-1.0,-1.0,14.0,24.0,419.0,884,0.14,0.0,0.4,0.0,0.3,0.0
297,2018-03-09,180.0,67.0,74.0,11.0,-1.0,-1.0,25.0,208.0,-1.0,704,0.0,0.0,0.1,0.0,0.1,0.0
298,2019-05-31,180.0,60.0,31.0,22.0,439.0,235.0,138.0,68.0,448.0,1152,0.0,0.0,0.03,0.0,0.07,0.0
299,2016-06-01,182.0,58.0,10.0,49.0,-1.0,16.0,-1.0,43.0,-1.0,58,0.0,0.0,0.13,0.0,0.15,0.02
300,2016-06-30,182.0,3.0,39.0,78.0,-1.0,45.0,-1.0,72.0,29.0,87,0.0,0.0,0.0,0.0,0.07,0.02
301,2017-02-13,182.0,42.0,31.0,12.0,-1.0,51.0,-1.0,1.0,228.0,315,0.86,0.0,0.47,0.0,0.3,0.03
302,2017-08-17,183.0,52.0,13.0,6.0,-1.0,269.0,279.0,88.0,-1.0,500,0.14,0.0,0.13,0.0,0.12,0.0
303,2016-11-29,184.0,84.0,20.0,1.0,80.0,-1.0,-1.0,93.0,-1.0,239,0.14,0.0,0.07,0.0,0.03,0.0
304,2018-06-12,184.0,71.0,30.0,25.0,369.0,-1.0,-1.0,16.0,560.0,799,0.0,0.14,0.33,0.03,0.23,0.02
305,2016-07-06,185.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93,0.0,0.0,0.0,0.07,0.0,0.1
306,2017-01-04,185.0,2.0,-1.0,13.0,43.0,-1.0,-1.0,136.0,182.0,275,0.0,0.0,0.07,0.0,0.05,0.0
307,2017-05-18,185.0,45.0,130.0,28.0,177.0,-1.0,-1.0,270.0,134.0,409,0.0,0.0,0.03,0.0,0.02,0.0
308,2017-06-10,185.0,68.0,153.0,51.0,200.0,-1.0,-1.0,293.0,23.0,432,0.0,0.0,0.0,0.0,0.02,0.0
309,2016-06-09,186.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66,0.0,0.0,0.0,0.0,0.0,0.0
310,2016-11-10,187.0,65.0,10.0,14.0,71.0,-1.0,-1.0,74.0,-1.0,220,0.0,0.0,0.17,0.03,0.08,0.02
311,2017-01-18,187.0,16.0,14.0,8.0,140.0,-1.0,-1.0,143.0,69.0,289,0.0,0.0,0.1,0.0,0.07,0.0
312,2016-08-09,189.0,43.0,18.0,96.0,-1.0,-1.0,-1.0,17.0,-1.0,127,0.0,0.0,0.07,0.0,0.03,0.0
313,2016-12-03,189.0,88.0,105.0,14.0,-1.0,-1.0,-1.0,133.0,116.0,243,0.0,0.0,0.1,0.0,0.07,0.0
314,2017-05-23,189.0,50.0,3.0,7.0,104.0,-1.0,-1.0,304.0,171.0,414,0.57,0.0,0.23,0.0,0.15,0.0
315,2018-09-11,189.0,8.0,17.0,118.0,10.0,-1.0,15.0,2.0,476.0,890,0.71,0.0,0.43,0.0,0.27,0.0
316,2016-06-24,191.0,81.0,45.0,-1.0,51.0,-1.0,-1.0,-1.0,-1.0,81,0.0,0.0,0.0,0.0,0.05,0.0
317,2016-08-31,191.0,65.0,113.0,-1.0,26.0,12.0,-1.0,17.0,68.0,149,0.0,0.0,0.33,0.03,0.28,0.02
318,2017-09-15,192.0,11.0,160.0,28.0,31.0,-1.0,191.0,13.0,-1.0,529,0.0,0.0,0.23,0.0,0.15,0.0
319,2018-04-24,192.0,22.0,77.0,61.0,164.0,-1.0,412.0,112.0,221.0,750,0.0,0.0,0.0,0.0,0.0,0.0
320,2018-08-10,193.0,46.0,85.0,86.0,-1.0,28.0,54.0,12.0,-1.0,858,0.0,0.0,0.27,0.0,0.23,0.02
321,2018-12-11,193.0,99.0,3.0,8.0,-1.0,151.0,177.0,9.0,123.0,981,0.29,0.0,0.33,0.0,0.17,0.0
322,2016-04-18,194.0,14.0,12.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,14,0.86,0.0,0.6,0.0,0.6,0.0
323,2018-12-07,194.0,95.0,17.0,28.0,60.0,-1.0,-1.0,61.0,963.0,977,0.0,0.0,0.1,0.0,0.12,0.0
324,2018-05-21,195.0,49.0,69.0,66.0,171.0,-1.0,118.0,21.0,-1.0,777,0.0,0.0,0.03,0.0,0.02,0.0
325,2018-12-11,195.0,99.0,145.0,115.0,10.0,-1.0,13.0,5.0,204.0,981,0.14,0.0,0.13,0.0,0.1,0.0
326,2016-08-30,196.0,64.0,7.0,92.0,-1.0,-1.0,-1.0,23.0,-1.0,148,0.0,0.0,0.27,0.0,0.18,0.0
327,2018-03-09,196.0,67.0,2.0,39.0,-1.0,196.0,-1.0,110.0,556.0,704,0.14,0.0,0.03,0.0,0.1,0.0
328,2017-02-28,197.0,57.0,15.0,21.0,-1.0,13.0,-1.0,191.0,-1.0,330,0.0,0.0,0.23,0.0,0.15,0.0
329,2017-04-11,197.0,8.0,57.0,39.0,-1.0,55.0,-1.0,233.0,42.0,372,0.0,0.0,0.0,0.0,0.08,0.0
330,2018-01-29,197.0,28.0,55.0,24.0,79.0,348.0,-1.0,169.0,293.0,665,0.0,0.0,0.03,0.0,0.08,0.0
331,2018-03-19,197.0,77.0,104.0,11.0,128.0,397.0,-1.0,31.0,49.0,714,0.0,0.0,0.03,0.0,0.1,0.0
332,2017-01-11,198.0,9.0,6.0,13.0,149.0,167.0,-1.0,150.0,-1.0,282,0.14,0.0,0.17,0.0,0.2,0.02
333,2016-11-21,199.0,76.0,102.0,4.0,-1.0,21.0,-1.0,113.0,-1.0,231,0.29,0.0,0.13,0.0,0.1,0.0
334,2018-12-04,199.0,92.0,35.0,25.0,110.0,764.0,-1.0,2.0,743.0,974,0.71,0.0,0.5,0.0,0.37,0.0
335,2019-02-21,199.0,45.0,6.0,13.0,189.0,843.0,-1.0,81.0,79.0,1053,0.14,0.0,0.23,0.0,0.22,0.0
336,2016-12-29,200.0,114.0,31.0,7.0,60.0,197.0,21.0,123.0,-1.0,269,0.0,0.0,0.1,0.0,0.15,0.0
337,2019-03-19,200.0,71.0,53.0,1.0,140.0,621.0,396.0,65.0,810.0,1079,0.29,0.0,0.13,0.0,0.13,0.0
338,2018-02-07,201.0,37.0,7.0,55.0,320.0,-1.0,-1.0,164.0,-1.0,674,0.0,0.0,0.03,0.0,0.08,0.0
339,2017-10-17,202.0,43.0,21.0,128.0,61.0,-1.0,115.0,23.0,-1.0,561,0.0,0.0,0.3,0.0,0.25,0.0
340,2018-01-02,202.0,1.0,98.0,9.0,69.0,21.0,75.0,100.0,77.0,638,0.0,0.0,0.1,0.0,0.08,0.0
341,2016-10-17,205.0,41.0,91.0,100.0,1.0,-1.0,-1.0,50.0,-1.0,196,0.14,0.0,0.03,0.03,0.18,0.02
342,2016-12-14,205.0,99.0,1.0,50.0,59.0,-1.0,-1.0,108.0,58.0,254,0.29,0.0,0.07,0.0,0.07,0.0
343,2018-11-15,205.0,73.0,85.0,164.0,760.0,60.0,-1.0,88.0,701.0,955,0.0,0.0,0.0,0.0,0.0,0.02
344,2016-11-01,207.0,56.0,13.0,-1.0,138.0,119.0,55.0,65.0,-1.0,211,0.0,0.0,0.03,0.0,0.07,0.0
345,2018-04-11,207.0,9.0,7.0,41.0,232.0,131.0,111.0,45.0,526.0,737,0.0,0.0,0.13,0.0,0.23,0.0
346,2016-11-17,208.0,72.0,8.0,41.0,6.0,-1.0,-1.0,95.0,-1.0,227,0.14,0.0,0.1,0.0,0.08,0.0
347,2017-01-06,208.0,4.0,19.0,11.0,56.0,-1.0,-1.0,145.0,50.0,277,0.0,0.0,0.13,0.0,0.12,0.0
348,2018-06-08,208.0,67.0,60.0,38.0,209.0,-1.0,-1.0,103.0,518.0,795,0.0,0.0,0.0,0.0,0.02,0.0
349,2017-02-06,209.0,35.0,24.0,20.0,-1.0,212.0,82.0,57.0,-1.0,308,0.0,0.0,0.07,0.0,0.08,0.0
350,2019-07-12,209.0,11.0,18.0,35.0,117.0,477.0,28.0,104.0,886.0,1194,0.0,0.0,0.07,0.0,0.05,0.0
351,2017-09-13,210.0,9.0,126.0,2.0,61.0,139.0,-1.0,24.0,-1.0,527,0.14,0.0,0.23,0.0,0.13,0.0
352,2019-04-30,211.0,29.0,75.0,32.0,216.0,-1.0,18.0,47.0,-1.0,1121,0.0,0.0,0.07,0.0,0.12,0.0
353,2017-09-15,213.0,11.0,126.0,189.0,13.0,92.0,-1.0,40.0,-1.0,529,0.0,0.0,0.03,0.0,0.25,0.0
354,2018-02-16,213.0,46.0,60.0,53.0,167.0,246.0,-1.0,103.0,154.0,683,0.0,0.0,0.0,0.0,0.02,0.0
355,2018-04-03,213.0,1.0,106.0,99.0,213.0,292.0,-1.0,149.0,46.0,729,0.0,0.0,0.0,0.0,0.0,0.0
356,2019-05-16,213.0,45.0,6.0,7.0,38.0,199.0,-1.0,70.0,408.0,1137,0.14,0.0,0.07,0.0,0.05,0.0
357,2016-05-26,214.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,52,0.0,0.0,0.17,0.0,0.17,0.04
358,2016-08-10,214.0,44.0,-1.0,-1.0,-1.0,39.0,-1.0,3.0,76.0,128,0.57,0.0,0.23,0.07,0.13,0.05
359,2016-12-15,214.0,100.0,-1.0,22.0,-1.0,166.0,-1.0,98.0,127.0,255,0.0,0.0,0.03,0.0,0.02,0.0
360,2017-06-19,214.0,77.0,110.0,54.0,-1.0,33.0,-1.0,1.0,186.0,441,0.86,0.0,0.23,0.0,0.15,0.0
361,2017-08-02,214.0,37.0,15.0,98.0,25.0,9.0,-1.0,17.0,44.0,485,0.0,0.0,0.37,0.0,0.3,0.0
362,2018-06-26,214.0,1.0,20.0,6.0,353.0,82.0,-1.0,184.0,328.0,813,0.14,0.0,0.13,0.0,0.08,0.0
363,2018-09-14,214.0,11.0,100.0,86.0,68.0,162.0,-1.0,13.0,80.0,893,0.0,0.0,0.2,0.03,0.22,0.02
364,2018-10-04,214.0,31.0,120.0,14.0,88.0,182.0,-1.0,33.0,20.0,913,0.0,0.0,0.03,0.0,0.12,0.02
365,2019-02-05,214.0,29.0,6.0,28.0,212.0,7.0,-1.0,79.0,124.0,1037,0.14,0.0,0.1,0.0,0.07,0.0
366,2019-04-26,214.0,25.0,86.0,32.0,292.0,87.0,-1.0,159.0,80.0,1117,0.0,0.0,0.0,0.0,0.02,0.0
367,2019-05-09,214.0,38.0,99.0,45.0,305.0,100.0,-1.0,172.0,13.0,1130,0.0,0.0,0.0,0.0,0.02,0.0
368,2018-04-14,216.0,12.0,179.0,15.0,622.0,-1.0,502.0,7.0,-1.0,740,0.0,0.0,0.13,0.0,0.13,0.0
369,2018-01-19,217.0,18.0,11.0,21.0,106.0,415.0,98.0,75.0,-1.0,655,0.0,0.0,0.07,0.0,0.08,0.0
370,2018-02-08,217.0,38.0,6.0,41.0,126.0,435.0,9.0,95.0,20.0,675,0.14,0.0,0.13,0.0,0.13,0.0
371,2019-05-03,217.0,32.0,155.0,3.0,330.0,884.0,33.0,173.0,449.0,1124,0.29,0.0,0.1,0.0,0.5,0.0
372,2019-06-14,217.0,74.0,16.0,23.0,7.0,926.0,75.0,215.0,42.0,1166,0.0,0.0,0.13,0.0,0.13,0.0
373,2016-12-23,218.0,108.0,60.0,10.0,79.0,167.0,211.0,117.0,-1.0,263,0.0,0.0,0.03,0.0,0.05,0.0
374,2017-07-14,218.0,18.0,86.0,10.0,282.0,370.0,4.0,12.0,203.0,466,0.14,0.0,0.37,0.0,0.28,0.0
